serial_number,state,district,block_tehsil,village,latitude,longitude,enumeration_date,s_no_of_scheme,scheme_type,scheme_type_surface_flow,scheme_type_surface_lift,ownership,individual_owner_name,khasra_number,total_owners_holding,scheme_owner_social_status,gender_name,commissioning_year,construction_cost,machinery_cost,maintainence_cost,finance_source1,finance_source2,construction_subsidy,machinery_subsidy,scheme_status,not_in_use_years,status_reason_temporarily,status_reason_permanently,water_distribution_method,lifting_device_type,energy_source,horse_power_of_lifting_device,pump_operating_days_kharif_season,pump_operating_days_rabi_season,pump_operating_days_perennial_crop,pump_operating_days_other_season,avg_pumping_per_day_kharif_season,avg_pumping_per_day_rabi_season,avg_pumping_per_day_perennial_crop,avg_pumping_per_day_other_season,located_in_command_area,name_of_mmi_project,reason_command_area,scheme_recharge_of_ground_water,culturable_command_area,ipc_kharif_season,ipc_rabi_season,ipc_perennial_crop,ipc_other_season,ipc_total,ipu_kharif_season,ipu_rabi_season,ipu_perennial_crop,ipu_other_season,ipu_total,scheme_under_utilisation,reason_for_under_utilisation,villages_covered,scheme_designed_storage,filled_up_storage,filled_up_storage_space,wbs_unique_id,drinking_water_purpose,captured_in_previous_census,enumerator_name,image_name,created_on,remark
1,GOA,South Goa,Canacona,Gaodongrem,15.0124383,74.1251766,2026-05-15,1,Surface Lift Scheme,,On-River,Govt. Owned,,213/0,,,,Up to 2018-2019,100000.0,600000.0,20000.0,,,0.0,0.0,In-Use,,,,Open Water Channel (unlined / Kutcha),Centrifugal Pump,Electric,30.0,0,0,180,0,0.0,0.0,9.0,0.0,No,,,No,250000.0,0.0,0.0,250000.0,0.0,250000.0,0.0,0.0,70000.0,0.0,70000.0,Yes,Any other reason,1,,,,,No,No,RAMAKANT DESAI,MIC_964100.jpeg,2026-05-15 11:27:42.575,
2,GOA,South Goa,Canacona,Canacona,15.0295293,74.035027,2026-05-15,2,Surface Lift Scheme,,On-drain/canal,Govt. Owned,,193/1,,,,Up to 2018-2019,150000.0,150000.0,15000.0,,,0.0,0.0,In-Use,,,,Surface pipe,Centrifugal Pump,Electric,20.0,0,0,180,0,0.0,0.0,10.0,0.0,No,,,No,5000.0,0.0,0.0,5000.0,0.0,5000.0,0.0,0.0,5000.0,0.0,5000.0,No,,1,,,,,No,No,ASHOK G GAONKAR,MIC_964814.jpeg,2026-05-15 15:21:42.309,
